iter	Passed	Remaining
0	319	319006
1	419	209238
2	512	170312
3	609	151809
4	707	140784
5	806	133595
6	895	127055
7	981	121660
8	1069	117748
9	1166	115439
10	1259	113282
11	1349	111138
12	1435	108982
13	1519	107004
14	1605	105400
15	1694	104189
16	1776	102749
17	1857	101361
18	1947	100541
19	2028	99394
20	2108	98282
21	2200	97817
22	2286	97118
23	2363	96096
24	2445	95363
25	2532	94868
26	2627	94681
27	2737	95045
28	2828	94699
29	2912	94186
30	2993	93582
31	3077	93091
32	3163	92703
33	3248	92294
34	3337	92022
35	3420	91580
36	3507	91300
37	3603	91225
38	3689	90924
39	3775	90623
40	3866	90434
41	3945	89999
42	4022	89516
43	4102	89134
44	4178	88673
45	4267	88500
46	4350	88204
47	4429	87850
48	4507	87485
49	4589	87203
50	4674	86985
51	4755	86702
52	4833	86357
53	4912	86068
54	4994	85818
55	5075	85558
56	5159	85360
57	5246	85205
58	5327	84965
59	5404	84674
60	5488	84486
61	5568	84239
62	5643	83932
63	5723	83704
64	5797	83400
65	5876	83163
66	5958	82977
67	6037	82746
68	6115	82508
69	6192	82269
70	6274	82097
71	6353	81887
72	6442	81805
73	6526	81672
74	6608	81504
75	6685	81283
76	6769	81140
77	6854	81021
78	6933	80837
79	7013	80656
80	7092	80472
81	7177	80349
82	7262	80237
83	7346	80112
84	7428	79965
85	7512	79842
86	7594	79693
87	7676	79552
88	7756	79397
89	7837	79248
90	7917	79089
91	7998	78943
92	8080	78805
93	8160	78649
94	8239	78496
95	8318	78335
96	8399	78193
97	8477	78023
98	8559	77903
99	8642	77778
100	8724	77653
101	8800	77475
102	8881	77345
103	8963	77223
104	9048	77131
105	9132	77025
106	9215	76914
107	9301	76826
108	9383	76699
109	9465	76586
110	9548	76477
111	9644	76466
112	9726	76348
113	9816	76292
114	9907	76246
115	9987	76110
116	10075	76039
117	10170	76020
118	10268	76020
119	10351	75912
120	10429	75763
121	10509	75635
122	10590	75511
123	10669	75375
124	10756	75296
125	10843	75216
126	10927	75117
127	11004	74966
128	11078	74802
129	11177	74803
130	11265	74732
131	11352	74652
132	11442	74588
133	11526	74495
134	11609	74384
135	11693	74285
136	11773	74163
137	11848	74012
138	11928	73886
139	12007	73759
140	12087	73636
141	12171	73543
142	12252	73429
143	12327	73282
144	12412	73193
145	12499	73114
146	12577	72981
147	12663	72899
148	12742	72780
149	12832	72715
150	12914	72613
151	12994	72493
152	13079	72409
153	13167	72334
154	13253	72253
155	13339	72171
156	13432	72122
157	13523	72066
158	13600	71935
